symbol	log2FC
?	-0.0077245789190165505
?	0.13024616927227317
?	0.03683636467220827
?	0.05803429143296019
?	0.041509068154646
?	0.0
?	-0.19983065801197583
?	0.003283256289655372
?	-0.007769211064613688
?	-0.01288671561341679
?	0.14135494878806568
?	0.013117677704944913
?	-0.04250796007602846
?	-0.0005056351063486657
?	-0.004679972761661316
?	-0.00040351188146479667
?	-0.00032863297507840174
?	0.001558593197088737
?	0.05244830482951065
?	0.10881386799337968
?	0.03648916281966609
?	0.0938978505044214
?	-0.22274463857770946
?	-0.00034704318048726663
?	-0.005216586300028071
?	0.039328315076209854
?	-0.8179649021429488
?	-0.014300215110928383
?	-0.1787583052925522
A1BG	-0.3344128288035927
A1CF	-0.010845990249959142
A2BP1	0.08585203925488163
A2LD1	0.02818630081721255
A2ML1	1.4360688485048434
A2M	-0.38450244218295276
A4GALT	-0.04866191748209754
A4GNT	-0.017134693102265158
AAA1	-0.010885338156157217
AAAS	-0.10699996306435802
AACSL	-0.048487085042276674
AACS	-0.147810602180632
AADACL2	0.04344752180321366
AADACL3	0.03369692400120745
AADACL4	0.0007922314133501146
AADAC	-0.4385679331038094
AADAT	-0.17635151801662582
AAGAB	0.12367325577857062
AAK1	0.1287252804499499
AAMP	0.008282771403201711
AANAT	0.01801316639163714
AARS2	-0.09431739316797272
AARSD1	-0.18614040359790807
AARS	0.09684095788694536
AASDHPPT	0.06448427241643681
AASDH	-0.13253648120630543
AASS	-0.2560442304353093
AATF	0.08066243123794624
AATK	0.0372832080092548
ABAT	-0.46250591811306446
ABCA10	-0.41255308344168146
ABCA11P	-0.06662110699913006
ABCA12	0.49892709906385546
ABCA13	0.45821408339157466
ABCA17P	0.11220395132780489
ABCA1	0.22761284566353368
ABCA2	0.10138451925529247
ABCA3	-0.22180864586185245
ABCA4	0.06352380591405853
ABCA5	-0.22910132245666986
ABCA6	-0.43130509665351285
ABCA7	0.11149200518836745
ABCA8	-0.5383734158546966
ABCA9	-0.351398214178487
ABCB10	0.01622613136025786
ABCB11	-0.025956817026696125
ABCB1	-0.18059883993097126
ABCB4	-0.03591179929420607
ABCB5	-0.0878407482742873
ABCB6	0.07110765096532812
ABCB7	0.04762293371770858
ABCB8	-0.05683042858201057
ABCB9	0.11106741161170047
ABCC10	0.03676832097610545
ABCC11	0.5674663760142518
ABCC12	0.1963984676471389
ABCC13	-0.2676771062236503
ABCC1	-0.08580177146869365
ABCC2	1.4700119978806014
ABCC3	0.7510793159437901
ABCC4	-0.18672460885154604
ABCC5	-0.071268517526519
ABCC6P1	-0.03366185963951615
ABCC6P2	-0.2778273541239027
ABCC6	-0.06430135489369485
ABCC8	-0.5756695940090886
ABCC9	-0.08638763177405086
ABCD1	0.365408240109742
ABCD2	0.004568219951195053
ABCD3	0.07617070837391239
ABCD4	-0.1635871302996326
ABCE1	-0.005012560514511771
ABCF1	0.06333081916987074
ABCF2	-0.02773238708027065
ABCF3	0.019951389201195
ABCG1	-0.020418031596740386
ABCG2	-0.14243057729392955
ABCG4	-0.03936112200284703
ABCG5	-0.004245665168439825
ABCG8	-0.008090634856549447
ABHD10	0.13415431231639122
ABHD11	-0.08246216361316003
ABHD12B	0.33460133220569493
ABHD12	0.0594143447296373
ABHD13	0.048699582207403246
ABHD14A	-0.13931347239244016
ABHD14B	-0.18262571396940552
ABHD15	-0.04989514161569736
ABHD1	-0.1362974097395171
ABHD2	-0.26904542242250884
ABHD3	0.3971682637968285
ABHD4	-0.012610898694978124
ABHD5	0.032046536833259386
ABHD6	-0.06985511199400676
ABHD8	-0.07082209509223221
ABI1	0.06711828531604232
ABI2	-0.02407205702985966
ABI3BP	-0.12233712428030392
ABI3	0.08181019869087496
ABL1	-0.11400541912856588
ABL2	-0.056145521552695456
ABLIM1	-0.09292464569079065
ABLIM2	0.08502925752741589
ABLIM3	-0.17116952556954418
ABO	-0.3905377001568831
ABP1	0.8111471493446684
ABRA	0.057706940631258544
ABR	-0.20274247711455126
ABT1	0.045006969844348294
ABTB1	-0.13209170223347852
ABTB2	0.4955494232210731
ACAA1	-0.021393975364725818
ACAA2	-0.17891084075474342
ACACA	-0.048181018498870735
ACACB	-0.18812146482499487
ACAD10	-0.15141784679267803
ACAD11	-0.1315386286040037
ACAD8	-0.20310210208066767
ACAD9	0.023737069078135525
ACADL	-0.21555172124172817
ACADM	-0.08633915766462782
ACADSB	-0.3923729774646697
ACADS	-0.03434269118536343
ACADVL	-0.20390971904324814
ACAN	-0.6471323554827431
ACAP1	0.24922059543931782
ACAP2	0.14936789105985293
ACAP3	-0.10568066709285295
ACAT1	-0.15774301711618097
ACAT2	0.09576580084152395
ACBD3	0.05163716569480843
ACBD4	-0.285938889887133
ACBD5	0.1097791918496957
ACBD6	-0.09021622417377832
ACBD7	0.41038393587333594
